customer_id,pred_period,churn_rate,CLV
1,1,0.0006,1299.22
2,1,0.00013,1299.8310000000001
3,1,0.0,1300.0
4,1,0.00115,1298.505
5,1,6e-05,1299.922
6,1,2e-05,1299.974
7,1,0.00099,1298.713
8,1,0.00261,1296.607
9,1,0.0,1300.0
10,1,0.0,1300.0
11,1,0.01259,1283.633
12,1,0.00018,1299.766
13,1,0.00027,1299.6490000000001
14,1,1e-05,1299.987
15,1,0.00089,1298.843
16,1,0.00017,1299.779
17,1,0.0,1300.0
18,1,7e-05,1299.9089999999999
19,1,0.00483,1293.721
20,1,0.00298,1296.126
21,1,0.00098,1298.726
22,1,2e-05,1299.974
23,1,0.00306,1296.0220000000002
24,1,1e-05,1299.987
25,1,0.0,1300.0
26,1,0.00184,1297.6080000000002
27,1,0.00108,1298.596
28,1,2e-05,1299.974
29,1,0.0028,1296.36
30,1,0.0006,1299.22
31,1,0.00015,1299.805
32,1,1e-05,1299.987
33,1,0.0,1300.0
34,1,0.00082,1298.934
35,1,9e-05,1299.883
36,1,0.0002,1299.74
37,1,0.0,1300.0
38,1,2e-05,1299.974
39,1,0.00018,1299.766
40,1,0.0,1300.0
41,1,6e-05,1299.922
42,1,0.00106,1298.622
43,1,0.00134,1298.258
44,1,0.00032,1299.584
45,1,0.0,1300.0
46,1,0.00101,1298.6870000000001
47,1,0.0,1300.0
48,1,0.00032,1299.584
49,1,0.00032,1299.584
50,1,0.00069,1299.103
51,1,0.00535,1293.045
52,1,0.0,1300.0
53,1,0.01726,1277.562
54,1,0.00139,1298.193
55,1,0.00273,1296.451
56,1,0.00276,1296.412
57,1,7e-05,1299.9089999999999
58,1,0.0,1300.0
59,1,0.0,1300.0
60,1,9e-05,1299.883
61,1,4e-05,1299.9479999999999
62,1,4e-05,1299.9479999999999
63,1,2e-05,1299.974
64,1,1e-05,1299.987
65,1,0.00019,1299.753
66,1,2e-05,1299.974
67,1,0.0,1300.0
68,1,0.0,1300.0
69,1,0.00316,1295.8919999999998
70,1,0.00244,1296.828
71,1,2e-05,1299.974
72,1,0.00102,1298.674
73,1,0.00112,1298.544
74,1,0.0013,1298.31
75,1,0.0,1300.0
76,1,0.00511,1293.357
77,1,2e-05,1299.974
78,1,0.0,1300.0
79,1,0.0,1300.0
80,1,0.00469,1293.903
81,1,0.00062,1299.194
82,1,0.00336,1295.632
83,1,0.0,1300.0
84,1,2e-05,1299.974
85,1,0.00011,1299.857
86,1,0.00103,1298.661
87,1,0.0002,1299.74
88,1,0.00063,1299.181
89,1,0.00181,1297.647
90,1,0.0,1300.0
91,1,0.00013,1299.8310000000001
92,1,0.00404,1294.748
93,1,0.00021,1299.7269999999999
94,1,0.00398,1294.826
95,1,0.00283,1296.321
96,1,0.00384,1295.008
97,1,0.0,1300.0
98,1,1e-05,1299.987
99,1,0.00021,1299.7269999999999
100,1,0.0,1300.0
101,1,0.00529,1293.123
102,1,0.00016,1299.792
103,1,0.00102,1298.674
104,1,0.00135,1298.2450000000001
105,1,0.0,1300.0
106,1,0.00027,1299.6490000000001
107,1,1e-05,1299.987
108,1,0.00012,1299.844
109,1,0.01523,1280.201
110,1,1e-05,1299.987
